Country: USA,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
m) ALL,17.3,4.3,2.5,2.2,0.8,1.0,0.0,2.2,0.0
,           1996,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b) 1,32.6,6.0,8.4,5.8,2.5,0.0,0.0,,
c) 2,27.9,6.9,4.6,2.0,0.0,0.0,0.0,0.0,0.0
d) 3,24.4,7.2,4.8,5.4,4.3,0.0,0.0,0.0,
e) 4,23.3,6.2,3.6,15.2,3.4,0.0,0.0,0.0,
f) 5,20.8,3.8,5.8,5.3,2.0,0.0,18.2,0.0,0.0
g) 6 to 10,19.8,4.5,3.8,2.2,1.2,1.6,0.0,0.0,0.0
h) 11 to 15,13.4,4.0,2.4,2.2,1.5,0.0,0.0,0.0,0.0
i) 16 to 20,11.0,2.3,1.5,1.7,3.0,0.0,0.0,0.0,0.0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,11.9,2.8,2.3,1.0,3.5,0.6,0.0,0.0,0.0
m) ALL,18.2,4.3,3.4,2.8,2.4,0.5,1.1,0.0,0.0
,           1997,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,28.7,6.6,7.2,9.2,2.3,5.9,0.0,0.0,0.0
c) 2,26.2,8.3,3.3,5.5,0.0,0.0,0.0,,
d) 3,22.7,6.6,3.1,4.9,2.6,0.0,0.0,0.0,0.0
e) 4,24.0,4.9,2.2,0.9,0.0,0.0,0.0,0.0,
f) 5,25.3,5.0,3.4,4.8,3.5,7.4,0.0,0.0,
g) 6 to 10,21.4,5.2,3.9,1.7,1.6,4.0,0.0,0.0,0.0
h) 11 to 15,16.6,4.8,2.6,1.1,2.5,0.0,0.0,0.0,0.0
i) 16 to 20,12.9,5.1,1.9,2.6,0.0,0.0,0.0,0.0,0.0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,12.3,3.3,2.5,1.3,0.7,0.0,0.0,0.0,0.0
m) ALL,18.6,5.1,3.1,2.4,1.3,1.2,0.0,0.0,0.0
,           1998,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,32.1,4.9,5.7,8.3,6.7,6.9,0.0,,
c) 2,25.7,5.6,5.8,4.9,2.2,17.1,18.2,0.0,0.0
d) 3,26.2,7.6,2.8,4.2,0.0,5.1,0.0,0.0,
e) 4,22.6,7.2,1.7,1.8,2.9,26.1,0.0,0.0,0.0
f) 5,18.2,9.8,5.4,2.8,4.3,22.2,0.0,0.0,
g) 6 to 10,19.5,5.1,3.8,2.0,2.3,2.9,8.0,0.0,0.0
h) 11 to 15,16.2,3.8,2.0,3.6,0.9,1.7,0.0,0.0,0.0
i) 16 to 20,14.4,1.8,1.6,1.8,0.9,0.0,0.0,0.0,0.0
j) 21 to 25,11.8,5.5,0.0,1.5,0.0,6.9,0.0,,0.0
k) 26+,,,,,,,,,
l) Left Censored,11.2,3.5,1.7,2.7,0.0,0.7,3.2,0.0,0.0
m) ALL,18.4,4.7,2.8,3.0,1.3,3.7,3.4,0.0,0.0
,           1999,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
b) 1,29.5,9.0,6.1,5.4,2.2,0.0,0.0,0.0,
c) 2,24.5,5.3,3.3,4.4,3.1,0.0,0.0,0.0,
d) 3,21.1,7.2,6.8,4.3,0.0,6.5,0.0,0.0,0.0
e) 4,20.7,5.1,7.1,3.5,1.9,11.8,0.0,0.0,
f) 5,21.0,5.3,5.5,3.3,6.1,0.0,0.0,0.0,0.0
g) 6 to 10,18.7,4.0,4.4,2.8,0.0,0.0,0.0,9.5,
h) 11 to 15,15.1,3.9,4.1,3.4,1.7,2.0,0.0,0.0,0.0
i) 16 to 20,11.8,2.1,2.2,0.7,2.1,2.0,0.0,0.0,0.0
j) 21 to 25,12.5,2.7,0.0,1.8,0.0,0.0,0.0,0.0,0.0
k) 26+,,,,,,,,,
l) Left Censored,13.7,3.5,2.7,2.1,1.2,0.0,0.0,0.0,0.0
m) ALL,17.4,4.3,3.9,2.7,1.4,1.3,0.0,2.3,0.0
,           2000,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,27.6,5.0,4.9,3.4,2.2,18.2,0.0,0.0,0.0
c) 2,24.6,7.6,7.8,5.3,1.9,7.4,0.0,0.0,
d) 3,20.3,5.3,7.1,3.4,0.0,0.0,0.0,0.0,
e) 4,21.8,4.3,8.7,3.5,0.0,0.0,0.0,0.0,0.0
f) 5,19.3,4.9,4.8,1.9,0.0,6.3,0.0,0.0,
g) 6 to 10,17.3,4.7,3.7,5.2,2.7,1.7,10.8,0.0,0.0
h) 11 to 15,14.3,3.3,1.3,2.4,0.8,1.9,0.0,0.0,0.0
i) 16 to 20,13.0,3.5,2.0,1.1,0.0,0.0,0.0,0.0,0.0
j) 21 to 25,7.1,1.9,2.0,0.6,0.0,0.0,0.0,0.0,0.0
k) 26+,,,,,,,,,
l) Left Censored,12.0,2.7,1.5,2.4,0.4,1.4,0.0,0.0,0.0
m) ALL,16.2,4.0,3.3,2.9,0.9,2.2,1.7,0.0,0.0
,           2001,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
b) 1,29.4,4.7,3.6,2.3,2.4,6.9,0.0,0.0,
c) 2,25.9,7.8,8.2,4.1,7.1,0.0,0.0,0.0,0.0
