Country: USA,,,,,,,,,,,,
Variable: firmdeath_emp,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
d) 3,358,193,D,D,.,.,.,.,,,,
e) 4,276,228,71,207,.,.,.,.,.,.,,.
f) 5,253,72,167,142,.,.,.,.,.,.,.,
g) 6 to 10,861,413,369,D,D,.,.,.,.,.,.,.
h) 11 to 15,352,253,195,177,.,.,.,.,.,.,.,.
i) 16 to 20,176,82,D,D,.,.,.,.,.,.,.,.
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,384,189,144,D,D,D,.,.,.,.,.,.
m) ALL,"3,869","1,883","1,496","1,407",228,206,.,.,.,.,.,.
,           1997,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,,,,,
b) 1,675,235,342,D,.,D,.,,,,,
c) 2,455,263,D,D,.,.,.,.,.,.,,
d) 3,360,164,D,D,.,.,.,.,.,.,.,
e) 4,278,147,113,.,.,.,.,.,,,,.
f) 5,257,145,D,D,.,.,.,.,.,,,.
g) 6 to 10,868,422,297,D,D,.,.,.,.,.,.,.
h) 11 to 15,450,332,214,D,D,.,.,.,.,.,.,.
i) 16 to 20,301,196,85,242,.,.,.,.,.,.,.,.
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,318,171,D,.,.,D,.,.,.,.,.,.
m) ALL,"3,962","2,075","1,458","1,180",228,701,.,.,.,.,.,.
,           1998,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,.,,,
b) 1,765,222,87,255,.,.,.,.,,,,
c) 2,503,186,287,237,.,D,D,,,,.,
d) 3,379,181,D,D,.,.,.,.,.,,,
e) 4,326,178,D,.,.,D,.,.,.,.,.,
f) 5,211,140,D,.,D,.,.,.,,.,.,.
g) 6 to 10,825,495,256,148,.,.,.,.,.,,.,.
h) 11 to 15,415,283,179,199,.,.,.,.,.,.,.,.
i) 16 to 20,264,73,D,D,.,.,.,.,.,.,.,.
j) 21 to 25,27,D,D,.,.,.,.,.,.,.,.,.
k) 26+,,,,,,,,,,,,
l) Left Censored,300,D,165,D,.,.,.,.,.,.,.,.
m) ALL,"4,015","1,937","1,308","1,033",131,525,580,.,.,.,.,.
,           1999,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,,,,,
b) 1,614,238,248,127,.,.,.,.,.,.,,
c) 2,D,142,D,D,.,.,.,.,,,,
d) 3,323,176,161,154,.,.,.,,,,,
e) 4,270,166,D,D,.,.,.,,.,,.,
f) 5,253,D,78,D,.,.,.,.,.,.,.,.
g) 6 to 10,795,302,489,D,.,.,.,D,.,.,.,.
h) 11 to 15,404,235,304,D,D,.,.,.,.,.,.,.
i) 16 to 20,253,114,D,.,.,D,.,.,.,.,.,.
j) 21 to 25,D,D,.,.,.,.,.,.,.,.,.,.
k) 26+,,,,,,,,,,,,
l) Left Censored,269,176,161,171,.,.,.,.,.,.,.,.
m) ALL,"3,747","1,644","1,787","1,423",132,355,.,"1,166",.,.,.,.
,           2000,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,.,,
b) 1,534,D,132,D,.,D,.,,,,.,.
c) 2,376,180,281,154,.,.,.,,.,.,,
d) 3,312,184,D,D,.,.,.,.,,,,
e) 4,272,105,D,D,.,.,.,,,,,
f) 5,176,79,D,D,.,.,.,,.,,,.
g) 6 to 10,620,323,264,324,D,.,D,.,.,.,.,.
h) 11 to 15,394,176,146,256,.,.,.,.,.,.,.,.
i) 16 to 20,239,156,D,D,.,.,.,.,.,.,.,.
j) 21 to 25,75,D,D,.,.,.,.,.,.,.,.,.
k) 26+,,,,,,,,,,,,
l) Left Censored,258,159,D,D,.,.,.,.,.,.,.,.
m) ALL,"3,256","1,628","1,497","1,225",115,336,503,.,.,.,.,.
,           2001,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,,.,,,
b) 1,663,161,D,D,.,.,,.,,.,,
c) 2,318,D,218,.,D,.,.,.,,,,.
d) 3,308,154,159,D,D,.,.,.,.,,.,
e) 4,244,140,213,251,.,.,.,.,.,,,
f) 5,253,D,121,D,.,D,.,,.,,,.
g) 6 to 10,570,342,287,270,.,.,.,.,.,.,.,.
h) 11 to 15,350,198,211,D,.,D,.,.,.,.,.,.
i) 16 to 20,234,106,D,D,.,.,.,.,.,.,.,.
j) 21 to 25,132,32,D,D,D,.,.,D,.,.,.,.
k) 26+,,,,,,,,,,,,
l) Left Censored,236,111,.,.,.,.,.,.,.,.,.,.
m) ALL,"3,308","1,459","1,500","1,026",824,551,.,"1,634",.,.,.,.
,           2002,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,,,
