State,Year,Percent of population in the Civilian Labor Force,Percent of population employed in Civilian Labor Force
Illinois,1991,67.6,62.6
Indiana,1991,66.4,62.7
Iowa,1991,70.2,66.9
Kansas,1991,70,66.8
Kentucky,1991,62.6,58
Louisiana,1991,62.1,57.8
Maine,1991,67.7,62.6
Maryland,1991,70.7,66.3
Massachusetts,1991,68.1,62.1
Michigan,1991,64.9,58.8
Minnesota,1991,73.4,69.5
Mississippi,1991,62.2,56.6
Missouri,1991,68,63.6
Montana,1991,68,63.7
Nebraska,1991,70.9,69
Nevada,1991,69.5,65.1
New Hampshire,1991,72.4,67.2
New Jersey,1991,66.7,62.2
New Mexico,1991,63.1,58.6
New York,1991,62.1,57.5
North Carolina,1991,68.2,64.1
North Dakota,1991,68.7,65.7
Ohio,1991,65.1,60.8
Oklahoma,1991,64.3,60.3
Oregon,1991,67.8,63.5
Pennsylvania,1991,63.1,58.7
Rhode Island,1991,67.1,61.6
South Carolina,1991,66.1,62.1
South Dakota,1991,70,67.5
Tennessee,1991,63.4,59.3
Texas,1991,68.3,63.6
Utah,1991,70.8,67.4
Vermont,1991,71.4,66.7
Virginia,1991,69.9,65.8
Washington,1991,67.6,63.4
West Virginia,1991,54.6,48.9
Wisconsin,1991,71,67.2
Wyoming,1991,70.5,66.9
Alabama,1992,61.7,57.4
Alaska,1992,73.2,66.6
Arizona,1992,64.1,59.4
Arkansas,1992,63.3,58.8
California,1992,66.4,60.2
Colorado,1992,70.8,66.6
Connecticut,1992,71.4,66.2
Delaware,1992,69.4,65.7
Florida,1992,62.6,57.4
Georgia,1992,67.1,62.6
Hawaii,1992,68.6,65.7
Idaho,1992,68.1,63.7
Illinois,1992,68,62.7
Indiana,1992,67.1,63
Iowa,1992,71,67.8
Kansas,1992,70.2,67
Kentucky,1992,62.4,58.1
Louisiana,1992,62.2,57.3
Maine,1992,67.7,62.8
Maryland,1992,71.1,66.4
Massachusetts,1992,67.9,61.9
Michigan,1992,65.4,59.4
Minnesota,1992,73.8,70
Mississippi,1992,62.1,56.9
Missouri,1992,67.9,63.8
Montana,1992,68.1,63.7
Nebraska,1992,70.9,68.8
Nevada,1992,69.5,64.7
New Hampshire,1992,72.4,66.9
New Jersey,1992,66.5,60.8
New Mexico,1992,63.2,58.4
New York,1992,61.9,56.5
North Carolina,1992,68.2,64
North Dakota,1992,68.7,65.4
Ohio,1992,65.6,60.8
Oklahoma,1992,63.9,59.9
Oregon,1992,68.1,63.2
Pennsylvania,1992,63.7,58.8
Rhode Island,1992,68,62
South Carolina,1992,66.4,62
South Dakota,1992,70.2,67.7
Tennessee,1992,64,59.8
Texas,1992,69,63.7
Utah,1992,71.1,67.6
Vermont,1992,71.8,67.2
Virginia,1992,70.1,65.8
Washington,1992,68.3,63.4
West Virginia,1992,54.9,48.7
Wisconsin,1992,71.5,67.9
Wyoming,1992,70.1,66.1
Alabama,1993,62,57.9
Alaska,1993,72.8,67.2
Arizona,1993,63.9,59.8
Arkansas,1993,63.4,59.6
California,1993,65.9,59.6
Colorado,1993,71.3,67.5
Connecticut,1993,70.4,65.9
Delaware,1993,69.2,65.7
Florida,1993,62.4,57.9
Georgia,1993,67,63
Hawaii,1993,68.4,65.4
Idaho,1993,68.5,64.3
