state,year,sname,ent015ua,n1,,,,,,,
,2006,Delaware,0.001855206,9253,,,,,,,
,2006,District of Co,0.00293565,7151,,,,,,,
,2006,Florida,0.003423816,24408,,,,,,,
,2006,Georgia,0.004369166,12841,,,,,,,
,2006,Hawaii,0.003975607,8519,,,,,,,
,2006,Idaho,0.003671224,6837,,,,,,,
,2006,Illinois,0.001830186,18200,,,,,,,
,2006,Indiana,0.002085564,9481,,,,,,,
,2006,Iowa,0.003129606,11150,,,,,,,
,2006,Kansas,0.002209248,8578,,,,,,,
,2006,Kentucky,0.002379106,8939,,,,,,,
,2006,Louisiana,0.002981197,5203,,,,,,,
,2006,Maine,0.004197534,11381,,,,,,,
,2006,Maryland,0.002655958,13158,,,,,,,
,2006,Massachusetts,0.003469901,9103,,,,,,,
,2006,Michigan,0.001645153,14675,,,,,,,
,2006,Minnesota,0.002902556,14347,,,,,,,
,2006,Mississippi,0.005165512,5402,,,,,,,
,2006,Missouri,0.002465054,10140,,,,,,,
,2006,Montana,0.006015676,5792,,,,,,,
,2006,Nebraska,0.00275015,8913,,,,,,,
,2006,Nevada,0.00333403,9466,,,,,,,
,2006,New Hampshire,0.002060234,12768,,,,,,,
,2006,New Jersey,0.002442459,12021,,,,,,,
,2006,New Mexico,0.003452225,5900,,,,,,,
,2006,New York,0.003349047,24708,,,,,,,
,2006,North Carolina,0.002021308,11909,,,,,,,
